"School","Date Reported","Student Cases","Staff Cases","Student Quarantines","Staff Quarantines","SchoolType"
"Frederick Douglass","8/23/2021","5","0","16","0","High School"
"Frederick Douglass","8/5/2021","3","0","2","0","High School"
"Frederick Douglass","8/22/2021","0","0","13","0","High School"
"Frederick Douglass","8/2/2021","1","0","0","0","High School"
"Frederick Douglass","8/17/2021","0","0","2","0","High School"
"Frederick Douglass","8/24/2021","1","0","14","0","High School"
"Garden Springs","8/13/2021","2","0","0","0","Elementary"
"Garden Springs","8/12/2021","1","0","1","0","Elementary"
"Garden Springs","8/23/2021","3","0","14","0","Elementary"
"Garden Springs","8/3/2021","1","0","1","0","Elementary"
"Garden Springs","8/9/2021","0","0","3","0","Elementary"
"Garden Springs","8/19/2021","0","0","1","0","Elementary"
"Garden Springs","8/14/2021","0","0","1","0","Elementary"
"Garden Springs","8/17/2021","0","0","2","0","Elementary"
"Garden Springs","8/8/2021","0","0","1","0","Elementary"
"Garden Springs","8/24/2021","1","0","6","0","Elementary"
"Garden Springs","8/16/2021","1","0","0","0","Elementary"
"Garden Springs","8/22/2021","0","0","21","0","Elementary"
"Garden Springs","8/4/2021","1","0","0","0","Elementary"
"Garden Springs","7/28/2021","0","0","1","0","Elementary"
"Garden Springs","8/11/2021","0","0","1","0","Elementary"
"Garden Springs","8/21/2021","0","0","1","0","Elementary"
"Garden Springs","8/10/2021","1","0","0","0","Elementary"
"Garrett Morgan","8/24/2021","3","3","0","0","Elementary"
"Garrett Morgan","8/9/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/3/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/21/2021","0","0","4","0","Elementary"
"Garrett Morgan","7/28/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/2/2021","0","1","1","0","Elementary"
"Garrett Morgan","8/14/2021","1","0","2","0","Elementary"
"Garrett Morgan","7/29/2021","1","0","0","0","Elementary"
"Garrett Morgan","8/16/2021","0","0","3","0","Elementary"
"Garrett Morgan","8/12/2021","1","0","1","0","Elementary"
"Garrett Morgan","8/13/2021","0","1","1","2","Elementary"
"Garrett Morgan","7/31/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/6/2021","1","0","0","0","Elementary"
"Garrett Morgan","8/19/2021","2","0","0","0","Elementary"
"Garrett Morgan","8/23/2021","1","2","26","0","Elementary"
"Garrett Morgan","8/8/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/17/2021","0","0","4","0","Elementary"
"Garrett Morgan","8/10/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/20/2021","0","0","3","0","Elementary"
"Garrett Morgan","8/5/2021","0","0","5","0","Elementary"
"Garrett Morgan","8/4/2021","1","0","0","0","Elementary"
"Garrett Morgan","8/18/2021","0","0","1","0","Elementary"
"Garrett Morgan","8/11/2021","0","0","2","0","Elementary"
"Glendover","8/1/2021","1","0","0","0","Elementary"
"Glendover","8/23/2021","0","0","3","0","Elementary"
"Glendover","8/3/2021","0","0","2","0","Elementary"
"Glendover","8/20/2021","0","0","1","0","Elementary"
"Glendover","8/18/2021","0","0","19","0","Elementary"
"Glendover","7/29/2021","3","0","0","0","Elementary"
"Glendover","8/10/2021","1","0","1","0","Elementary"
"Glendover","8/11/2021","1","0","0","0","Elementary"
"Glendover","7/28/2021","0","0","1","0","Elementary"
"Glendover","7/31/2021","0","0","2","0","Elementary"
"Glendover","8/12/2021","1","0","2","0","Elementary"
"Glendover","8/17/2021","1","0","1","0","Elementary"
"Glendover","8/8/2021","0","0","1","0","Elementary"
"Glendover","8/24/2021","0","0","1","0","Elementary"
"Harrison","8/19/2021","1","0","39","0","Elementary"
"Harrison","8/21/2021","1","0","2","0","Elementary"
"Harrison","8/17/2021","0","0","1","0","Elementary"
"Harrison","8/22/2021","0","0","4","0","Elementary"
